#Fent servir el metode de Euler amb x0=1.000000 , y0=1.000000, z0=1.000000, sigma=10.000000, b=2.666667, r=350.000000, Tmax=100.000000, h=0.010000 ,obtenim els resultats: 
#Temps 			 X 			 Y 			 Z 			 X^2 
0.000000 		 1.000000 		 4.480000 		 0.983333 		 1.000000
0.010000 		 1.348000 		 7.925366 		 1.001911 		 1.817104
0.020000 		 2.005737 		 12.550608 		 1.082027 		 4.022980
0.030000 		 3.060224 		 19.423477 		 1.304906 		 9.364970
0.040000 		 4.696549 		 29.900093 		 1.864510 		 22.057572
0.050000 		 7.216904 		 45.951447 		 3.219062 		 52.083699
0.060000 		 11.090358 		 70.518776 		 6.449492 		 122.996036
0.070000 		 17.033199 		 107.914566 		 14.098289 		 290.129879
0.080000 		 26.121334 		 164.050232 		 32.103638 		 682.324094
0.090000 		 39.914223 		 245.448486 		 74.099648 		 1593.145175
0.100000 		 60.467651 		 353.117493 		 170.092514 		 3656.336862
0.110000 		 89.732635 		 458.372131 		 379.078552 		 8051.945873
0.120000 		 126.596588 		 427.695465 		 780.279175 		 16026.696127
0.130000 		 156.706482 		 -121.300201 		 1300.919556 		 24556.921480
0.140000 		 128.905807 		 -1610.239868 		 1076.143066 		 16616.707206
0.150000 		 -45.008759 		 -2530.177979 		 -1028.246826 		 2025.788346
0.160000 		 -293.525665 		 -3125.208008 		 137.974731 		 86157.316180
0.170000 		 -576.693909 		 -3716.304443 		 9307.583008 		 332575.864322
0.180000 		 -890.654968 		 47978.695313 		 30491.082031 		 793266.272489
0.190000 		 3996.280029 		 315951.937500 		 -397646.625000 		 15970254.072557
0.200000 		 35191.843750 		 16217852.000000 		 12239281.000000 		 1238465866.524414
0.210000 		 1653457.750000 		 -4291049728.000000 		 5719273984.000000 		 2733922531035.062500
0.220000 		 -427616832.000000 		 -94570020864000.000000 		 -70945125433344.000000 		 182856155009716220.000000
0.230000 		 -9457386913792.000000 		 -303373413239396240000.000000 		 404397210102524810000.000000 		 89442167237164170000000000.000000
0.240000 		 -30337350999641948000.000000 		 38245407979713663000000000000000.000000 		 28691197109601711000000000000000.000000 		 920354865675476310000000000000000000000.000000
